time,wx (rad/s),wy (rad/s),wz (rad/s)
1.229180,1.43,4.15,0.99
1.229759,1.44,4.16,1.00
1.230518,1.45,4.16,1.01
1.231156,1.46,4.17,1.02
1.231631,1.47,4.16,1.05
1.232542,1.48,4.14,1.08
1.233345,1.49,4.13,1.11
1.233991,1.51,4.12,1.14
1.234450,1.53,4.10,1.17
1.245157,1.55,4.08,1.19
1.246165,1.57,4.04,1.22
1.246883,1.58,4.00,1.24
1.247525,1.59,3.96,1.26
1.248118,1.59,3.90,1.28
1.248462,1.59,3.85,1.30
1.257286,1.58,3.79,1.31
1.257956,1.57,3.73,1.32
1.258413,1.57,3.66,1.33
1.271682,1.57,3.60,1.32
1.272461,1.57,3.53,1.32
1.273149,1.56,3.45,1.32
1.273553,1.56,3.38,1.31
1.274023,1.56,3.31,1.30
1.274406,1.55,3.24,1.30
1.274758,1.53,3.17,1.30
1.289382,1.51,3.12,1.29
1.290367,1.45,3.20,1.24
1.290697,1.38,3.33,1.17
1.291224,1.36,3.30,1.15
1.291602,1.37,3.20,1.17
1.291934,1.37,3.04,1.21
1.292215,1.34,2.87,1.24
1.302595,1.30,2.68,1.27
1.303182,1.27,2.51,1.28
1.303701,1.26,2.41,1.30
1.304021,1.27,2.36,1.30
1.304415,1.30,2.31,1.30
1.305306,1.33,2.25,1.29
1.307620,1.36,2.15,1.28
1.322942,1.37,2.04,1.27
1.323717,1.37,1.92,1.26
1.324153,1.36,1.82,1.25
1.324550,1.34,1.74,1.24
1.324846,1.30,1.67,1.22
1.325146,1.25,1.60,1.19
1.325521,1.19,1.52,1.14
1.343305,1.12,1.46,1.09
1.343964,1.05,1.43,1.05
1.344340,0.99,1.42,1.00
1.344654,0.93,1.42,0.95
1.344951,0.87,1.42,0.92
1.345260,0.81,1.41,0.88
1.345706,0.73,1.40,0.85
1.346051,0.65,1.37,0.81
1.351663,0.57,1.35,0.78
1.352146,0.50,1.34,0.74
1.352472,0.43,1.33,0.70
1.354765,0.38,1.33,0.67
1.356935,0.34,1.33,0.64
1.373058,0.33,1.34,0.61
1.373938,0.33,1.35,0.58
1.374437,0.34,1.36,0.56
1.374850,0.36,1.36,0.54
1.375266,0.37,1.36,0.53
1.375668,0.39,1.37,0.51
1.376064,0.42,1.39,0.50
1.388417,0.46,1.41,0.48
1.389250,0.48,1.43,0.47
1.389781,0.50,1.45,0.45
1.390218,0.52,1.49,0.43
1.390634,0.52,1.54,0.43
1.391033,0.52,1.60,0.41
1.391814,0.51,1.66,0.41
1.404103,0.50,1.71,0.41
1.404954,0.49,1.76,0.42
1.405404,0.47,1.81,0.42
1.405799,0.46,1.84,0.42
1.406203,0.44,1.87,0.42
1.406588,0.44,1.89,0.42
1.418445,0.43,1.90,0.42
1.419042,0.43,1.89,0.42
1.419276,0.42,1.86,0.40
1.419584,0.42,1.81,0.38
1.419804,0.43,1.76,0.38
1.421760,0.46,1.69,0.37
1.423569,0.49,1.61,0.36
1.434116,0.51,1.52,0.37
1.434490,0.54,1.44,0.38
1.434721,0.57,1.37,0.39
1.434950,0.59,1.31,0.40
1.436029,0.63,1.25,0.41
1.438351,0.66,1.21,0.43
1.454248,0.68,1.16,0.45
1.454845,0.72,1.14,0.48
1.455226,0.75,1.13,0.49
1.455611,0.80,1.15,0.50
1.455965,0.85,1.16,0.49
1.456297,0.90,1.17,0.48
1.456908,0.95,1.19,0.46
1.473408,1.02,1.21,0.44
1.474495,1.08,1.24,0.42
1.475110,1.12,1.25,0.39
1.476024,1.15,1.26,0.37
1.476614,1.16,1.28,0.36
1.477181,1.16,1.29,0.36
1.478656,1.14,1.32,0.36
1.479080,1.09,1.47,0.32
1.479504,1.04,1.63,0.25
1.491024,1.03,1.66,0.23
1.491681,1.02,1.64,0.27
1.492180,1.01,1.54,0.32
1.492768,1.00,1.41,0.36
1.493236,1.01,1.35,0.38
1.493784,1.08,1.39,0.37
1.504638,1.18,1.44,0.34
1.505508,1.29,1.48,0.31
1.506174,1.36,1.45,0.30
1.506589,1.36,1.32,0.30
1.506966,1.31,1.19,0.30
1.507712,1.22,1.15,0.32
1.522608,1.12,1.18,0.35
1.523094,1.01,1.26,0.38
1.523345,0.93,1.34,0.41
1.523668,0.89,1.38,0.43
1.524099,0.84,1.39,0.47
1.524495,0.80,1.35,0.50
1.524985,0.77,1.31,0.52
1.543239,0.76,1.26,0.53
1.544149,0.75,1.20,0.54
1.544769,0.75,1.14,0.54
1.545251,0.73,1.07,0.54
1.545859,0.72,0.99,0.53
1.546392,0.72,0.92,0.51
1.547004,0.69,0.86,0.47
1.547502,0.64,0.82,0.43
1.563404,0.58,0.81,0.41
1.564721,0.52,0.83,0.40
1.565247,0.46,0.87,0.39
1.565871,0.42,0.91,0.38
1.566246,0.38,0.95,0.35
1.566597,0.35,0.98,0.33
1.566941,0.33,1.01,0.31
1.567345,0.32,1.02,0.28
1.567685,0.33,1.02,0.24
1.571356,0.33,1.03,0.20
1.572107,0.32,1.03,0.17
1.579618,0.32,1.05,0.13
1.579998,0.32,1.06,0.09
1.580480,0.33,1.09,0.05
1.581781,0.32,1.11,0.01
1.584223,0.31,1.14,-0.01
1.586638,0.29,1.18,-0.03
