time,wx (rad/s),wy (rad/s),wz (rad/s)
1.671962,-0.01,-0.02,-0.02
1.674301,-0.01,-0.02,-0.01
1.676747,-0.02,-0.03,-0.01
1.679662,-0.02,-0.03,-0.01
1.682108,-0.03,-0.03,-0.01
1.683986,-0.03,-0.03,-0.01
1.686670,-0.03,-0.03,-0.01
1.689272,-0.04,-0.02,-0.01
1.691417,-0.04,-0.02,-0.01
1.693825,-0.05,-0.02,-0.01
1.696681,-0.05,-0.01,-0.01
1.699299,-0.05,-0.00,-0.01
1.701328,-0.05,0.00,-0.01
1.703736,-0.05,0.01,-0.01
1.706784,-0.05,0.01,-0.01
1.708861,-0.05,0.02,-0.01
1.711156,-0.05,0.02,-0.01
1.713658,-0.04,0.02,-0.01
1.716078,-0.03,0.02,-0.01
1.718977,-0.03,0.02,-0.01
1.722598,-0.02,0.02,-0.01
1.723503,-0.01,0.02,-0.01
1.726353,-0.01,0.02,-0.01
1.731909,-0.00,0.01,-0.01
1.732304,0.01,0.01,-0.01
1.733337,0.01,0.01,-0.01
1.735711,0.02,0.01,-0.01
1.738590,0.03,0.01,-0.01
1.741222,0.04,0.00,-0.01
1.743508,0.04,0.00,-0.01
1.745600,0.05,0.00,-0.01
1.748238,0.05,-0.00,-0.02
1.750881,0.06,-0.00,-0.02
1.752937,0.06,-0.00,-0.02
1.755367,0.06,-0.01,-0.02
1.758651,0.07,-0.01,-0.02
1.760408,0.07,-0.01,-0.02
1.762827,0.07,-0.02,-0.02
1.765279,0.06,-0.02,-0.02
1.768124,0.06,-0.02,-0.02
1.770423,0.06,-0.02,-0.02
1.772641,0.06,-0.03,-0.02
1.775130,0.06,-0.03,-0.02
1.779146,0.05,-0.03,-0.02
1.780153,0.05,-0.03,-0.02
